정류장번호,정류장명,위도,경도,정보수집일시,모바일단축번호,도시코드,도시명,관리도시명
GGB100000001,종로2가사거리(중),37.5697833,126.9877333,2.0221E+13,1001,11,서울특별시,경기도
GGB100000002,창경궁.서울대학교병원(중),37.5792333,126.9965667,2.0221E+13,1002,11,서울특별시,경기도
GGB100000003,명륜3가.성대입구(중),37.5827,126.9983333,2.0221E+13,1003,11,서울특별시,경기도
GGB100000004,종로2가.삼일교(중),37.5686833,126.9875333,2.0221E+13,1004,11,서울특별시,경기도
GGB100000005,혜화동로터리.여운형활동터(중),37.5862333,127.00175,2.0221E+13,1005,11,서울특별시,경기도
GGB100000018,사직단.어린이도서관,37.5751333,126.9680167,2.0221E+13,1113,11,서울특별시,경기도
GGB100000019,사직동주민센터,37.5761167,126.9715833,2.0221E+13,1114,11,서울특별시,경기도
GGB100000022,경복궁,37.5756167,126.9787333,2.0221E+13,1117,11,서울특별시,경기도
GGB100000023,KT광화문지사,37.5724333,126.9773167,2.0221E+13,1118,11,서울특별시,경기도
GGB100000025,광화문,37.5700333,126.97625,2.0221E+13,1120,11,서울특별시,경기도
GGB100000028,서울역사박물관.경교장.강북삼성병원,37.5700333,126.9713,2.0221E+13,1123,11,서울특별시,경기도
GGB100000030,광화문,37.5703333,126.9758333,2.0221E+13,1125,11,서울특별시,경기도
GGB100000031,세종문화회관,37.57265,126.9763667,2.0221E+13,1126,11,서울특별시,경기도
GGB100000032,서울경찰청.경복궁역,37.5758167,126.9714833,2.0221E+13,1127,11,서울특별시,경기도
GGB100000033,사직단,37.5748833,126.9681833,2.0221E+13,1128,11,서울특별시,경기도
GGB100000034,광화문.광화문빌딩,37.5695167,126.97675,2.0221E+13,1129,11,서울특별시,경기도
GGB100000035,덕성여중고,37.57585,126.9819667,2.0221E+13,1130,11,서울특별시,경기도
GGB100000037,국민은행세검정지점,37.6047,126.9608833,2.0221E+13,1132,11,서울특별시,경기도
GGB100000051,국민은행세검정지점,37.6047667,126.96125,2.0221E+13,1146,11,서울특별시,경기도
GGB100000055,구기터널.한국고전번역원,37.6086333,126.9562,2.0221E+13,1150,11,서울특별시,경기도
GGB100000056,구기터널앞.한국고전번역원,37.6083333,126.9564167,2.0221E+13,1151,11,서울특별시,경기도
GGB100000057,구기동,37.607,126.9585333,2.0221E+13,1152,11,서울특별시,경기도
GGB100000058,구기동,37.6070667,126.9590333,2.0221E+13,1153,11,서울특별시,경기도
GGB100000060,갑을씨티텔앞,37.6044,126.9635333,2.0221E+13,1155,11,서울특별시,경기도
GGB100000061,평창파출소,37.60535,126.9660333,2.0221E+13,1156,11,서울특별시,경기도
GGB100000062,평창동주민센터,37.6066333,126.9695667,2.0221E+13,1157,11,서울특별시,경기도
GGB100000063,일성아파트,37.6088,126.973,2.0221E+13,1158,11,서울특별시,경기도
GGB100000064,롯데아파트,37.6104667,126.9764667,2.0221E+13,1159,11,서울특별시,경기도
GGB100000065,롯데아파트,37.6100333,126.9761333,2.0221E+13,1160,11,서울특별시,경기도
GGB100000066,벽산평창힐스아파트,37.60825,126.9728833,2.0221E+13,1161,11,서울특별시,경기도
GGB100000067,예능교회,37.6065333,126.9700833,2.0221E+13,1162,11,서울특별시,경기도
GGB100000068,서울예술고등학교.평창동주민센터,37.6058167,126.9676167,2.0221E+13,1163,11,서울특별시,경기도
GGB100000069,화정박물관,37.6045333,126.9648,2.0221E+13,1164,11,서울특별시,경기도
GGB100000073,서대문.서울시교육청,37.5682833,126.9645167,2.0221E+13,1168,11,서울특별시,경기도
GGB100000102,원남동,37.5745667,126.9973333,2.0221E+13,1198,11,서울특별시,경기도
GGB100000105,조계사,37.5724,126.9832167,2.0221E+13,1201,11,서울특별시,경기도
GGB100000106,조계사,37.5725167,126.9828167,2.0221E+13,1202,11,서울특별시,경기도
GGB100000107,안국동,37.57465,126.9827167,2.0221E+13,1203,11,서울특별시,경기도
GGB100000108,종로5가.효제동.김상옥의거터,37.5745,127.0022167,2.0221E+13,1204,11,서울특별시,경기도
GGB100000109,종로5가.효제초등학교,37.5729167,127.0021333,2.0221E+13,1205,11,서울특별시,경기도
GGB100000118,동대문,37.5717667,127.0084167,2.0221E+13,1214,11,서울특별시,경기도
GGB100000119,충신동,37.5740667,127.0062833,2.0221E+13,1215,11,서울특별시,경기도
GGB100000122,현대그룹빌딩,37.57585,127.0005333,2.0221E+13,1218,11,서울특별시,경기도
GGB100000123,통신대(이화장),37.5781667,127.00245,2.0221E+13,1219,11,서울특별시,경기도
GGB100000124,혜화역.마로니에공원,37.58115,127.0022667,2.0221E+13,1220,11,서울특별시,경기도
GGB100000129,이화동(이화장),37.5759667,127.00325,2.0221E+13,1225,11,서울특별시,경기도
GGB100000133,혜화역.동성중고(장면총리가옥),37.5846,127.0017167,2.0221E+13,1229,11,서울특별시,경기도
GGB100000139,동묘역앞,37.5717167,127.0155667,2.0221E+13,1235,11,서울특별시,경기도
GGB100000147,신설동로타리,37.5755333,127.0226833,2.0221E+13,1243,11,서울특별시,경기도
GGB100000154,서울역사박물관.김구집무실(경교장),37.5699333,126.9720333,2.0221E+13,1250,11,서울특별시,경기도
GGB100000165,숭인동,37.5743167,127.0204333,2.0221E+13,1262,11,서울특별시,경기도
GGB100000169,조계사,37.5727667,126.9832,2.0221E+13,1267,11,서울특별시,경기도
GGB100000174,세종문화회관,37.5734,126.97635,2.0221E+13,1272,11,서울특별시,경기도
GGB100000190,종로중부새마을금고,37.5724167,127.0066,2.0221E+13,1288,11,서울특별시,경기도
GGB100000330,종로1가,37.5703667,126.98045,2.0221E+13,1763,11,서울특별시,경기도
GGB100000355,평창동삼성아파트,37.6111167,126.9786833,2.0221E+13,1293,11,서울특별시,경기도
GGB100000362,영천시장(중),37.5697833,126.96285,2.0221E+13,13037,11,서울특별시,경기도
GGB100000363,영천시장(중),37.5699833,126.9625,2.0221E+13,13036,11,서울특별시,경기도
GGB100000365,동대문.흥인지문(중),37.5721,127.0124833,2.0221E+13,1037,11,서울특별시,경기도
