SAFETY_NO,SAFETY_CODE,SAFETY_NM,SAFETY_ADDR,SAFETY_EMD,SAFETY_LONG,SAFETY_LAT,SAFETY_X,SAFETY_Y,SAFETY_GEOM
SFT0000879,공공안전시설물현황(B),5호선 (5143) 애오개역-충정로역간 터널,서울특별시 마포구 아현동 마포대로  210,서울특별시 마포구 아현동 마포대로 210 애오개역 지하철역(5호선),,,14132681.54,4516460.796,
SFT0000880,공공안전시설물현황(B),2-086 아현역,서울특별시 마포구 신촌로 270,서울특별시 마포구 아현동 신촌로 270 아현역,,,14132646.05,4517048.729,
SFT0000881,공공안전시설물현황(B),5호선 (5142) 애오개역사,서울특별시 마포구 마포대로 지하 210,"서울특별시 마포구 마포대로 지하 210, 애오개역 (아현동)",,,14132879.99,4516743.876,
SFT0000882,공공안전시설물현황(B),만리배수지,서울특별시 마포구 환일길 43,서울특별시 마포구 환일길 43,,,14133236.06,4516671.92499999,
SFT0000883,공공안전시설물현황(B),서울소의초등학교 남쪽 옹벽,서울특별시 마포구 마포대로24길 42,서울특별시 마포구 아현동 386-1,,,14133208.02,4516357.84399999,
SFT0000884,공공안전시설물현황(B),5호선 (5140) 공덕역사,서울특별시 마포구 마포대로 지하 100,"서울특별시 마포구 마포대로 지하 100, 공덕역(5호선) (공덕동)",,,14132161.72,4515280.957,
SFT0000885,공공안전시설물현황(B),별정우체국연금관리단,서울특별시 마포구 마포대로 130,서울특별시 마포구 마포대로 130 (공덕동),,,14132339.64,4515481.56099999,
SFT0000886,공공안전시설물현황(B),서울복지타운,서울특별시 마포구 공덕동 백범로 31길 21,서울특별시 마포구 공덕동 백범로31길 21 서울복지타운,,,14132003.14,4515608.092,
SFT0000887,공공안전시설물현황(B),5호선 (5141) 공덕역-애오개역간 터널,null,서울특별시 마포구 공덕동 237-9,,,14132150.61,4515374.449,
SFT0000888,공공안전시설물현황(B),6호선 (6134) 공덕역사,서울특별시 마포구 백범로 지하 200,"서울특별시 마포구 백범로 지하 200, 공덕역(6호선) (공덕동)",,,14132222.59,4515131.09599999,
SFT0000889,공공안전시설물현황(B),공덕2삼성래미안아파트 201동,서울특별시 마포구 만리재옛길 101,"서울특별시 마포구 만리재옛길 101 (공덕동,삼성래미안공덕2차아파트)",,,14133225.98,4516215.087,
SFT0000890,공공안전시설물현황(B),공덕삼성임대아파트 106동,서울특별시 마포구 마포대로 115-8,서울특별시 마포구 공덕동 마포대로 115-8 공덕삼성아파트 106동,,,14132118.96,4515614.45199999,
SFT0000891,공공안전시설물현황(B),신용보증기금건물,서울특별시 마포구 마포대로 122,서울특별시 마포구 마포대로 122 (공덕동),,,14132295.16,4515402.627,
SFT0000892,공공안전시설물현황(B),서울신용보증재단본점,서울특별시 마포구 마포대로 163,서울특별시 마포구 마포대로 163 (공덕동),,,14132454.38,4515926.89599999,
SFT0000893,공공안전시설물현황(B),신공덕삼성임대아파트 113동,서울특별시 마포구 백범로37길 6,서울특별시 마포구 신공덕동 백범로37길6,,,14132689.26,4514964.264,
SFT0000894,공공안전시설물현황(B),신공덕삼성임대아파트 112동,서울특별시 마포구 백범로37길 6,서울특별시 마포구 신공덕동 백범로37길6,,,14132689.26,4514964.264,
SFT0000895,공공안전시설물현황(B),도원배수지,null,서울특별시 마포구 도화동 376-275외6필지,,,14132271.57,4514236.048,
SFT0000896,공공안전시설물현황(B),5호선 (5139) 마포역-공덕역간 터널,서울특별시 마포구 마포대로 33,서울특별시 마포구 도화동 마포대로 33 마포역 지하철역(5호선),,,14131506.21,4514644.88499999,
SFT0000897,공공안전시설물현황(A),서울마포우체국,서울특별시 마포구 마포대로 89,서울특별시 마포구 도화동 마포대로 89 서울마포우체국,,,14131974.75,4515103.01699999,
SFT0000898,공공안전시설물현황(B),도화현대임대아파트 211동,서울특별시 마포구 새창로8길 72,서울특별시 마포구 도화동 새창로8길 72 현대2차아파트 211동,,,14132177.63,4514302.029,
SFT0000899,공공안전시설물현황(B),도화현대임대아파트 212동,서울특별시 마포구 새창로8길 72,서울특별시 마포구 도화동 353-1,,,14132177.63,4514302.029,
SFT0000900,공공안전시설물현황(B),5호선 (5138) 마포역사,서울특별시 마포구 마포대로 지하 33,"서울특별시 마포구 마포대로 지하 33, 마포역 (도화동)",,,14131554.73,4514587.241,
SFT0000901,공공안전시설물현황(B),공덕2터널,서울특별시 마포구 새창로 37,서울특별시 마포구 도화동 1-406,,,14132462.2,4514879.508,
SFT0000902,공공안전시설물현황(A),토정 나들목,null,서울특별시 마포구 토정동 2-11,,,14130863.98,4514741.36199999,
