구분,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
오피스텔,서울특별시 마포구 공덕동,15-3,0015,0003,"	(15-3)	",전세,19.72,202201,17,"        10,000",             0,4,2002,만리재로 91
오피스텔,서울특별시 마포구 공덕동,15-3,0015,0003,"	(15-3)	",전세,21.45,202202,12,"        12,000",             0,9,2002,만리재로 91
오피스텔,서울특별시 마포구 공덕동,15-3,0015,0003,"	(15-3)	",월세,21.45,202202,24,           500,            25,9,2002,만리재로 91
오피스텔,서울특별시 마포구 공덕동,15-3,0015,0003,"	(15-3)	",전세,19.72,202203,22,"         9,000",             0,9,2002,만리재로 91
오피스텔,서울특별시 마포구 공덕동,15-3,0015,0003,"	(15-3)	",전세,19.72,202206,7,"         8,925",             0,6,2002,만리재로 91
오피스텔,서울특별시 마포구 공덕동,15-3,0015,0003,"	(15-3)	",전세,18.15,202206,16,"        10,000",             0,4,2002,만리재로 91
오피스텔,서울특별시 마포구 공덕동,15-3,0015,0003,"	(15-3)	",월세,19.72,202208,13,"         1,000",            45,12,2002,만리재로 91
오피스텔,서울특별시 마포구 공덕동,15-3,0015,0003,"	(15-3)	",전세,19.72,202209,14,"        11,500",             0,11,2002,만리재로 91
오피스텔,서울특별시 마포구 공덕동,15-3,0015,0003,"	(15-3)	",전세,19.72,202210,10,"         9,000",             0,4,2002,만리재로 91
오피스텔,서울특별시 마포구 공덕동,15-3,0015,0003,"	(15-3)	",전세,19.72,202210,10,"         9,000",             0,4,2002,만리재로 91
오피스텔,서울특별시 마포구 공덕동,15-3,0015,0003,"	(15-3)	",전세,22.02,202210,22,"         9,500",             0,3,2002,만리재로 91
오피스텔,서울특별시 마포구 공덕동,15-3,0015,0003,"	(15-3)	",전세,19.72,202210,31,"        10,000",             0,2,2002,만리재로 91
오피스텔,서울특별시 마포구 공덕동,15-3,0015,0003,"	(15-3)	",월세,22.02,202211,4,"         1,000",            50,9,2002,만리재로 91
오피스텔,서울특별시 마포구 공덕동,15-3,0015,0003,"	(15-3)	",전세,18.15,202211,5,"         8,500",             0,7,2002,만리재로 91
오피스텔,서울특별시 마포구 공덕동,15-3,0015,0003,"	(15-3)	",월세,19.72,202212,31,"         1,000",            45,12,2002,만리재로 91
오피스텔,서울특별시 마포구 공덕동,27-4,0027,0004,DK빌딩,월세,25.49,202202,24,"         1,000",            87,6,2020,만리재로 110
오피스텔,서울특별시 마포구 공덕동,27-4,0027,0004,DK빌딩,월세,25.49,202203,9,"         1,000",            89,7,2020,만리재로 110
오피스텔,서울특별시 마포구 공덕동,27-4,0027,0004,DK빌딩,월세,23.48,202207,11,"         1,000",            84,6,2020,만리재로 110
오피스텔,서울특별시 마포구 공덕동,27-4,0027,0004,DK빌딩,월세,36.61,202211,22,"         1,000",            98,6,2020,만리재로 110
오피스텔,서울특별시 마포구 공덕동,31-1,0031,0001,YD레지던스,전세,22.82,202201,25,"        17,500",             0,8,2013,만리재로 123
오피스텔,서울특별시 마포구 공덕동,31-1,0031,0001,YD레지던스,전세,20.38,202203,26,"        17,500",             0,15,2013,만리재로 123
오피스텔,서울특별시 마포구 공덕동,31-1,0031,0001,YD레지던스,전세,22.51,202206,24,"        17,500",             0,10,2013,만리재로 123
오피스텔,서울특별시 마포구 공덕동,31-1,0031,0001,YD레지던스,전세,22.51,202212,21,"        17,000",             0,8,2013,만리재로 123
오피스텔,서울특별시 마포구 공덕동,31-1,0031,0001,YD레지던스,전세,22.82,202212,21,"        16,800",             0,11,2013,만리재로 123
오피스텔,서울특별시 마포구 공덕동,115-45,0115,0045,공덕 시티하우스,전세,22.36,202205,13,"        15,000",             0,13,2013,만리재로 81
오피스텔,서울특별시 마포구 공덕동,115-45,0115,0045,공덕 시티하우스,월세,27.43,202205,17,"         3,000",            60,14,2013,만리재로 81
오피스텔,서울특별시 마포구 공덕동,115-45,0115,0045,공덕 시티하우스,월세,22.5,202206,4,"         1,000",            60,15,2013,만리재로 81
오피스텔,서울특별시 마포구 공덕동,115-45,0115,0045,공덕 시티하우스,월세,22.5,202206,7,"         1,000",            60,15,2013,만리재로 81
오피스텔,서울특별시 마포구 공덕동,115-45,0115,0045,공덕 시티하우스,전세,27.43,202210,29,"        15,000",             0,4,2013,만리재로 81
오피스텔,서울특별시 마포구 공덕동,115-45,0115,0045,공덕 시티하우스,전세,39.69,202212,13,"        13,600",             0,7,2013,만리재로 81
오피스텔,서울특별시 마포구 공덕동,12-98,0012,0098,공덕오피스타,월세,16.13,202201,10,           500,            50,4,2013,만리재로 104
오피스텔,서울특별시 마포구 공덕동,12-98,0012,0098,공덕오피스타,월세,19.41,202201,15,"         1,000",            55,8,2013,만리재로 104
오피스텔,서울특별시 마포구 공덕동,12-98,0012,0098,공덕오피스타,월세,14.79,202201,15,"         1,000",            50,18,2013,만리재로 104
오피스텔,서울특별시 마포구 공덕동,12-98,0012,0098,공덕오피스타,월세,16.88,202201,22,"         7,000",            30,14,2013,만리재로 104
오피스텔,서울특별시 마포구 공덕동,12-98,0012,0098,공덕오피스타,월세,16.88,202203,29,           500,            50,18,2013,만리재로 104
오피스텔,서울특별시 마포구 공덕동,12-98,0012,0098,공덕오피스타,전세,16.88,202204,4,"        13,000",             0,7,2013,만리재로 104
오피스텔,서울특별시 마포구 공덕동,12-98,0012,0098,공덕오피스타,전세,19.41,202204,9,"        12,500",             0,5,2013,만리재로 104
오피스텔,서울특별시 마포구 공덕동,12-98,0012,0098,공덕오피스타,전세,16.88,202204,12,"        10,990",             0,3,2013,만리재로 104
오피스텔,서울특별시 마포구 공덕동,12-98,0012,0098,공덕오피스타,월세,24.41,202204,14,"        14,500",             2,17,2013,만리재로 104
오피스텔,서울특별시 마포구 공덕동,12-98,0012,0098,공덕오피스타,월세,16.88,202204,19,           500,            53,3,2013,만리재로 104
오피스텔,서울특별시 마포구 공덕동,12-98,0012,0098,공덕오피스타,월세,16.88,202204,28,"         1,000",            50,13,2013,만리재로 104
오피스텔,서울특별시 마포구 공덕동,12-98,0012,0098,공덕오피스타,월세,16.88,202205,1,"         7,000",            30,14,2013,만리재로 104
오피스텔,서울특별시 마포구 공덕동,12-98,0012,0098,공덕오피스타,전세,16.88,202205,6,"        13,000",             0,12,2013,만리재로 104
오피스텔,서울특별시 마포구 공덕동,12-98,0012,0098,공덕오피스타,월세,16.88,202205,7,"         6,000",            40,14,2013,만리재로 104
오피스텔,서울특별시 마포구 공덕동,12-98,0012,0098,공덕오피스타,월세,16.88,202205,27,"         1,000",            50,8,2013,만리재로 104
오피스텔,서울특별시 마포구 공덕동,12-98,0012,0098,공덕오피스타,월세,16.13,202206,3,"         5,000",            30,5,2013,만리재로 104
