SAFETY_SORT,SAFETY_GUBUN,SAFETY_CODE,SAFETY_NM,SAFETY_ADDR,SAFETY_PNU,SAFETY_LON,SAFETY_LAT,SAFETY_X,SAFETY_Y
traffic,교통사고,사망사고,안전운전 의무 불이행,(인물특정 가능성으로 인한 비공개),11440110,,,14130150.54,4516946.387
traffic,교통사고,중상사고,안전운전 의무 불이행,(인물특정 가능성으로 인한 비공개),11440110,,,14130091.51,4516911.856
traffic,교통사고,경상사고,안전운전 의무 불이행,(인물특정 가능성으로 인한 비공개),11440110,,,14130389.4,4516837.717
traffic,교통사고,중상사고,안전운전 의무 불이행,(인물특정 가능성으로 인한 비공개),11440113,,,14130006.46,4517012.596
traffic,교통사고,중상사고,보행자 보호의무 위반,(인물특정 가능성으로 인한 비공개),11440120,,,14128200.89,4516726.831
traffic,교통사고,사망사고,안전운전 의무 불이행,(인물특정 가능성으로 인한 비공개),11440120,,,14127974.26,4516689.975
accident,붕괴사고,붕괴,건물붕괴,서울특별시 마포구 상암동 1607,11440,,,14125587.42,4520151.004
accident,붕괴사고,붕괴,건물붕괴,서울특별시 마포구 도화동 25-13,11440,,,14132196.73,4515030.656
accident,붕괴사고,붕괴,건물붕괴,서울특별시 마포구 토정로 316,11440,,,14131285,4514573.062
accident,사고안전,가스사고,폭발,서울특별시 마포구  서교동 358-58 2층 노크,11440120,,,14128870.68,4516403.254
accident,사고안전,가스사고,폭발,서울특별시 마포구  상수동 31612,11440115,,,14129160.91,4515484.931
accident,사고안전,가스사고,폭발,서울특별시 마포구  공덕동 65-1,11440102,,,14133006.44,4516078.942
accident,사고안전,산업재해,낙사,"서울특별시 마포구 독막로 320태영데시앙 빌딩 3, 5층",11440,,,14131773.66,4515061.544
disaster,재난안전,상습결빙구간,고갯길,서울특별시 마포구 백범로,11440,,,14130396.55,4516953.481
disaster,재난안전,상습결빙구간,지하차도,서울특별시 마포구 증산로,11440,,,14126908.36,4520075.527
disaster,재난안전,상습결빙구간,급커브,서울특별시 마포구 내부순환로,11440,,,14126164.04,4517637.383
disaster,재난안전,상습결빙구간,지하차도,서울특별시 마포구 성산로,11440,,,14125921.38,4517509.817
disaster,재난안전,상습결빙구간,지하차도,서울특별시 마포구 모래내로,11440,,,14128118.41,4518456.954
disaster,재난안전,상습결빙구간,고갯길,서울특별시 마포구 만리재로,11440,,,14131941.15,4515098.16
disaster,재난안전,상습결빙구간,고가도로,서울특별시 마포구 월드컵북로,11440,,,14127083.57,4518614.755
disaster,재난안전,상습결빙구간,급경사,서울특별시 마포구 강변북로,11440,,,14124679.4,4518059.296
disaster,재난안전,상습결빙구간,고가도로,서울특별시 마포구 서강대교,11440,,,14129367.41,4515189.39
disaster,재난안전,상습결빙구간,고가도로,서울특별시 마포구 모래내로,11440,,,14128006.64,4518305.489
disaster,재난안전,상습결빙구간,지하차도,서울특별시 마포구 토정로,11440,,,14127630.6,4515457.272
disaster,재난안전,상습결빙구간,고가도로,서울특별시 마포구 양화대교,11440,,,14126438.04,4514490.233
disaster,재난안전,상습결빙구간,고갯길,서울특별시 마포구 백범로,11440,,,14131941.15,4515098.16
disaster,재난안전,상습결빙구간,고갯길,서울특별시 마포구 백범로,11440,,,14130637.45,4516227.401
disaster,재난안전,상습결빙구간,지하차도,서울특별시 마포구 증산로,11440,,,14126442.38,4519514.111
disaster,재난안전,상습결빙구간,급커브,서울특별시 마포구 내부순환로,11440,,,14126159.85,4516549.369
disaster,재난안전,상습결빙구간,지하차도,서울특별시 마포구 성산로,11440,,,14126471.32,4517708.287
disaster,재난안전,상습결빙구간,지하차도,서울특별시 마포구 모래내로,11440,,,14128403.16,4518758.486
disaster,재난안전,상습결빙구간,고갯길,서울특별시 마포구 만리재로,11440,,,14132184.57,4515366.152
disaster,재난안전,상습결빙구간,고가도로,서울특별시 마포구 월드컵북로,11440,,,14126985.64,4518682.674
disaster,재난안전,상습결빙구간,급경사,서울특별시 마포구 강변북로,11440,,,14125162.77,4517648.991
disaster,재난안전,상습결빙구간,고가도로,서울특별시 마포구 서강대교,11440,,,14129643.26,4515055.03
disaster,재난안전,상습결빙구간,고가도로,서울특별시 마포구 모래내로,11440,,,14128685.71,4518403.713
disaster,재난안전,상습결빙구간,지하차도,서울특별시 마포구 토정로,11440,,,14127736.8,4515448.848
disaster,재난안전,상습결빙구간,고가도로,서울특별시 마포구 양화대교,11440,,,14126215.62,4514617.425
disaster,재난안전,상습결빙구간,고갯길,서울특별시 마포구 백범로,11440,,,14132704.13,4514895.794
unhealth,보건안전,질병,어린이천식,서울특별시 마포구,11440,,,14127358.28,4517357.69
unhealth,보건안전,질병,어린이천식,서울특별시 마포구,11440,,,14127358.28,4517357.69
unhealth,보건안전,질병,어린이천식,서울특별시 마포구,11440,,,14127358.28,4517357.69
unhealth,보건안전,질병,어린이천식,서울특별시 마포구,11440,,,14127358.28,4517357.69
