SAFETY_NO,SAFETY_CODE,SAFETY_NM,SAFETY_ADDR,SAFETY_EMD,SAFETY_LONG,SAFETY_LAT,SAFETY_X,SAFETY_Y,SAFETY_GEOM
SFT0002922,약국,마포삼성약국,"서울특별시 마포구 도화길 33, 1층 우측호 (도화동)",,126.949457505448,37.5411322820991,14131948.965988794,4514804.466014908,
SFT0007181,약국,태이린한약국,"서울특별시 마포구 희우정로12길 16, 2층 (망원동)",,126.903881038373,37.5536338063104,14126875.416881848,4516559.733677054,
SFT0014129,약국,2층하늘약국,"서울특별시 마포구 월드컵북로 230, 201호 (중동, 현대상가)",,126.90383356849008,37.570140470944516,14126870.132558653,4518877.791369565,
SFT0014130,약국,3층온누리약국,"서울특별시 마포구 월드컵북로 230, 305호 (중동, 현대상가)",,126.90383008038549,37.57015091871719,14126869.744264627,4518879.258729891,
SFT0014131,약국,DMC하늘약국,서울특별시 마포구 월드컵북로 361  (상암동),,126.89141826385648,37.57708840897716,14125488.067168796,4519853.655201985,
SFT0014132,약국,delight이화약국,"서울특별시 마포구 월드컵로3길 14, 220호 (합정동)",,126.9116485435,37.5510094108,14127740.091597319,4516191.232868223,
SFT0014133,약국,건강약국,"서울특별시 마포구 방울내로 70, (망원동)",,126.90331683059873,37.56008493078724,14126812.609559713,4517465.614417429,
SFT0014134,약국,건우약국,"서울특별시 마포구 마포대로 205-1, (아현동)",,126.95592746934622,37.55255872910145,14132669.199075395,4516408.776651971,
SFT0014135,약국,공덕오거리약국,"서울특별시 마포구 새창로 11, 1층 (도화동)",,126.95132578928957,37.54246933954342,14132156.942394694,4514992.180562034,
SFT0014136,약국,광명약국,"서울특별시 마포구 양화로 191, 1층 (동교동)",,126.92576414122017,37.55868841550616,14129311.432747772,4517269.50609411,
SFT0014137,약국,광실약국,서울특별시 마포구 도화길 32,,126.94962634267173,37.54081845988182,14131967.760862565,4514760.407815725,
SFT0014138,약국,구심당약국,"서울특별시 마포구 월드컵로25길 58, 1층 (망원동)",,126.90438348786637,37.55792340708484,14126931.3493036,4517162.079884887,
SFT0014139,약국,굿모닝약국,서울특별시 마포구 월드컵북로 361,,126.89138206480398,37.57707035548062,14125484.037508704,4519851.119403019,
SFT0014140,약국,그린이화약국,"서울특별시 마포구 양화로 133, B104-5호 (서교동, 서교타워빌딩)",,126.92096887016737,37.5553876532819,14128777.625615958,4516806.004869625,
