SAFETY_SORT,SAFETY_GUBUN,SAFETY_CODE,SAFETY_NM,SAFETY_ADDR,SAFETY_EMD,SAFETY_LON,SAFETY_LAT,SAFETY_X,SAFETY_Y
safe,소방안전시설,소방서(511010),마포소방서(마포소방서),서울특별시 마포구 창전로 76,서울특별시 마포구 신수동 100-5,,,14130133.75,4515936.121
safe,소방안전시설,119안전센터(511020),공덕119안전센터(마포소방서),서울특별시 마포구 만리재옛길 82,서울특별시 마포구 공덕동 29-7,,,14133097.96,4516056.789
safe,소방안전시설,119안전센터(511020),염리119안전센터(마포소방서),서울특별시 마포구 토정로 37길 27,서울특별시 마포구 염리동 174-19,,,14131517.36,4514887.89
safe,소방안전시설,119안전센터(511020),신수119안전센터(마포소방서),서울특별시 마포구 창전로 76,서울특별시 마포구 신수동 100-5,,,14130133.75,4515936.121
safe,소방안전시설,119안전센터(511020),서교119안전센터(마포소방서),서울특별시 마포구 양화로 60,서울특별시 마포구 서교동 394-42,,,14128175.54,4516089.476
safe,소방안전시설,119안전센터(511020),성산119안전센터(마포소방서),서울특별시 마포구 월드컵북로 240,서울특별시 마포구 성산동 448,,,14126790.6,4518944.325
safe,소방안전시설,119안전센터(511020),상암119안전센터(마포소방서),서울특별시 마포구 월드컵로42길 34,서울특별시 마포구 상암동 1677,,,14124352.04,4520253.511
police,치안시설,경찰서(510010),서울마포경찰서(서울마포),서울시 마포구 마포대로 183,서울특별시 마포구 아현동 618-1,,,14132487.08,4516158.782
police,치안시설,지구대(510020),공덕지구대(서울마포),서울특별시 마포구 마포대로 195-1,서울특별시 마포구 아현동 785,,,14132460.28,4516303.968
police,치안시설,지구대(510020),홍익지구대(서울마포),서울특별시 마포구 양화로11길 63,서울특별시 마포구 서교동 491,,,14127936.16,4516309.374
police,치안시설,지구대(510020),월드컵지구대(서울마포),서울특별시 마포구 월드컵북로 30길 24,서울특별시 마포구 성산동 602,,,14127447.74,4518673.615
police,치안시설,지구대(510020),용강지구대(서울마포),서울특별시 마포구 토정로31길 35,서울특별시 마포구 용강동 503,,,14131238.93,4515004.923
police,치안시설,지구대(510020),서강지구대(서울마포),"서울특별시 마포구 독막로22길 8(창전동, 서강지구대)",서울특별시 마포구 창전동 402-59,,,14129705.86,4515675.697
police,치안시설,파출소(510030),망원파출소(서울마포),서울특별시 마포구 망원로2길 63,서울특별시 마포구 망원동 398-1,,,14126749.12,4516658.628
police,치안시설,파출소(510030),상암파출소(서울마포),서울특별시 마포구 매봉산로 76,서울특별시 마포구 상암동 8-8,,,14125757.31,4520016.73
police,치안시설,파출소(510030),연남파출소(서울마포),서울특별시 마포구 연남로 4,서울특별시 마포구 연남동 373-20,,,14129087.95,4517498.091
police,치안시설,치안센터(510040),망원2치안센터(서울마포),서울 마포구 월드컵로 31길 18,서울특별시 마포구 망원동 471-22,,,14126860.71,4517682.279
police,치안시설,치안센터(510040),동교치안센터(서울마포),서울 마포구 양화로 178-17,서울특별시 마포구 동교동 167-20,,,14129343.22,4517099.927
police,치안시설,치안센터(510040),서교치안센터(서울마포),서울 마포구 잔다리로 6길 29,서울특별시 마포구 서교동 369-9,,,14128759.17,4516389.746
police,치안시설,치안센터(510040),아현치안센터(서울마포),서울 마포구 환일길 3,서울특별시 마포구 아현동 710,,,14133158.3,4517098.72
police,치안시설,치안센터(510040),대흥치안센터(서울마포),서울 마포구 대흥로 85,서울특별시 마포구 대흥동 298-4,,,14131061.99,4515730.328
police,치안시설,치안센터(510040),노고산치안센터(서울마포),서울 마포구 신촌로18길 26,서울특별시 마포구 노고산동 57-66,,,14130306.72,4516683.286
police,치안시설,치안센터(510040),도화치안센터(서울마포),서울 마포구 도화길 40,서울특별시 마포구 도화동 6-69,,,14132031.97,4514827.886
police,치안시설,스마트 안심부스(510050),KT 링커스(마포구),null,서울특별시 마포구 만리재로 15,,,14132330.54,4515259.434
police,치안시설,스마트 안심부스(510050),KT 링커스(마포구),null,서울특별시 마포구 독막로 62,,,14128701.92,4515730.641
police,치안시설,스마트 안심부스(510050),KT 링커스(마포구),null,서울특별시 마포구 양화로 129,,,14128753.21,4516737.982
police,치안시설,스마트 안심부스(510050),KT 링커스(마포구),null,서울특별시 마포구 양화로 133,,,14128763.07,4516840.029
edu,대학교,대학교(502040),서강대학교 대학원,서울특별시 마포구 백범로 35,서울특별시 마포구 대흥동 22-60,,,14131269.73,4516366.164
edu,대학교,대학교(502040),서강대학교 미디어커뮤니케이션대학원,서울특별시 마포구 백범로 35,서울특별시 마포구 대흥동 22-60,,,14130973.17,4516236.64
edu,대학교,대학교(502040),서강대학교 메타버스전문대학원,서울특별시 마포구 백범로 35,서울특별시 마포구 대흥동 22-60,,,14130973.17,4516236.64
edu,대학교,대학교(502040),서강대학교 공공정책대학원,서울특별시 마포구 백범로 35,서울특별시 마포구 대흥동 산 1-30,,,14131226.41,4516342.707
edu,대학교,대학교(502040),서강대학교 신학대학원,서울특별시 마포구 백범로 35,서울특별시 마포구 대흥동 22-60,,,14131264.43,4516314.611
edu,대학교,대학교(502040),서강대학교 국제대학원,서울특별시 마포구 백범로 35,서울특별시 마포구 대흥동 산 1-30,,,14131206.42,4516330.644
edu,대학교,대학교(502040),서강대학교 정보통신대학원,서울특별시 마포구 백범로 35,서울특별시 마포구 대흥동 43-7,,,14131081.94,4516037.349
edu,대학교,대학교(502040),서강대학교 교육대학원,서울특별시 마포구 백범로 35,서울특별시 마포구 대흥동 22-60,,,14131229.22,4516102.375
edu,대학교,대학교(502040),서강대학교 법학전문대학원,서울특별시 마포구 백범로 35,서울특별시 마포구 대흥동 22-60,,,14131256.45,4516271.093
edu,대학교,대학교(502040),서강대학교 경제대학원,"서울특별시 마포구 백범로 35 (신수동, 서강대학교)",서울특별시 마포구 신수동 1-1,,,14130887.75,4516112.203
edu,대학교,대학교(502040),서강대학교 기술경영전문대학원,"서울특별시 마포구 백범로 35 (신수동, 서강대학교)",서울특별시 마포구 신수동 1-1,,,14130851.91,4516102.806
edu,대학교,대학교(502040),서강대학교,"서울특별시 마포구 백범로 35 (신수동, 서강대학교)",서울특별시 마포구 신수동 1-1,,,14130903.19,4516205.768
edu,대학교,대학교(502040),서강대학교 경영전문대학원,"서울특별시 마포구 백범로 35 (신수동, 서강대학교)",서울특별시 마포구 신수동 1-1,,,14130830.38,4516414.442
edu,대학교,대학교(502040),홍익대학교 영상/ 커뮤니케이션대학원,서울특별시 마포구 와우산로 94,서울특별시 마포구 창전동 436-2,,,14129240.91,4516430.771
edu,대학교,대학교(502040),홍익대학교 건축도시대학원,서울특별시 마포구 와우산로 94,서울특별시 마포구 창전동 436-2,,,14129227.42,4516429.823
edu,대학교,대학교(502040),홍익대학교 광고홍보대학원,서울특별시 마포구 와우산로 94,서울특별시 마포구 창전동 436-2,,,14129195.46,4516394.985
edu,대학교,대학교(502040),홍익대학교 공연예술대학원,서울특별시 마포구 와우산로 94,서울특별시 마포구 창전동 436-2,,,14129219.43,4516413.75
edu,대학교,대학교(502040),홍익대학교 산업미술대학원,서울특별시 마포구 와우산로 94,서울특별시 마포구 창전동 436-2,,,14129210.78,4516398.345
edu,대학교,대학교(502040),홍익대학교 패션대학원,"서울특별시 마포구 와우산로 94 (상수동, 홍익대학교)",서울특별시 마포구 상수동 72-1,,,14129283.12,4516160.733
edu,대학교,대학교(502040),홍익대학교,"서울특별시 마포구 와우산로 94 (상수동, 홍익대학교)",서울특별시 마포구 상수동 72-1,,,14129187.46,4516378.242
edu,대학교,대학교(502040),홍익대학교 교육대학원,"서울특별시 마포구 와우산로 94 (상수동, 홍익대학교)",서울특별시 마포구 상수동 72-1,,,14129244.11,4516390.339
edu,대학교,대학교(502040),홍익대학교 경영대학원,"서울특별시 마포구 와우산로 94 (상수동, 홍익대학교)",서울특별시 마포구 상수동 72-1,,,14129174.81,4516362.836
edu,대학교,대학교(502040),홍익대학교 대학원,"서울특별시 마포구 와우산로 94 (상수동, 홍익대학교)",서울특별시 마포구 상수동 72-1,,,14129280.27,4516143.919
edu,대학교,대학교(502040),홍익대학교 국제디자인전문대학원,"서울특별시 마포구 와우산로 94 (상수동, 홍익대학교)",서울특별시 마포구 상수동 72-1,,,14129397.95,4516145.354
edu,대학교,대학교(502040),홍익대학교 문화예술경영대학원,"서울특별시 마포구 와우산로 94 (상수동, 홍익대학교)",서울특별시 마포구 상수동 72-1,,,14129406.09,4516134.566
edu,대학교,대학교(502040),홍익대학교 미술대학원,"서울특별시 마포구 와우산로 94 (상수동, 홍익대학교)",서울특별시 마포구 상수동 72-1,,,14129381.04,4516145.933
health,복지시설,자살예방센터(504080),마포구정신건강복지센터,서울특별시 마포구 성산로 4길 15 성산1동주민센터 3층,서울특별시 마포구 성산동 275-3,,,14127322.32,4517926.726
public,공공기관,공공기관(501010),서울아현동우체국,서울특별시 마포구 신촌로 266,null,,,14132580.65,4517039.138
public,공공기관,공공기관(501010),서울공덕2동우편취급국,서울특별시 마포구 마포대로 14길 14-1,null,,,14132692.48,4515813.153
public,공공기관,공공기관(501010),종합민원실,서울특별시 마포구 마포대로 174,null,,,14132632.76,4515973.161
