SAFETY_NO,SAFETY_CODE,SAFETY_NM,SAFETY_ADDR,SAFETY_EMD,SAFETY_LONG,SAFETY_LAT,SAFETY_X,SAFETY_Y,SAFETY_GEOM
SFT0000037,경찰서(510010),서울마포경찰서(서울마포),서울시 마포구 마포대로 183,서울특별시 마포구 아현동 618-1,,,14132487.0838,4516158.78239,
SFT0000318,지구대(510020),공덕지구대(서울마포),서울특별시 마포구 마포대로 195-1,서울특별시 마포구 아현동 785,,,14132460.2781,4516303.96805,
SFT0000319,지구대(510020),홍익지구대(서울마포),서울특별시 마포구 양화로11길 63,서울특별시 마포구 서교동 491,,,14127936.1649,4516309.37394,
SFT0000320,지구대(510020),월드컵지구대(서울마포),서울특별시 마포구 월드컵북로 30길 24,서울특별시 마포구 성산동 602,,,14127447.7395,4518673.61533,
SFT0000321,지구대(510020),용강지구대(서울마포),서울특별시 마포구 토정로31길 35,서울특별시 마포구 용강동 503,,,14131238.9251,4515004.92289,
SFT0000322,지구대(510020),서강지구대(서울마포),"서울특별시 마포구 독막로22길 8(창전동, 서강지구대)",서울특별시 마포구 창전동 402-59,,,14129705.8554,4515675.69653,
SFT0000990,파출소(510030),망원파출소(서울마포),서울특별시 마포구 망원로2길 63,서울특별시 마포구 망원동 398-1,,,14126749.1206,4516658.62829,
SFT0000991,파출소(510030),상암파출소(서울마포),서울특별시 마포구 매봉산로 76,서울특별시 마포구 상암동 8-8,,,14125757.3085,4520016.7296,
SFT0000992,파출소(510030),연남파출소(서울마포),서울특별시 마포구 연남로 4,서울특별시 마포구 연남동 373-20,,,14129087.9543,4517498.09119,
SFT0002393,치안센터(510040),망원2치안센터(서울마포),서울 마포구 월드컵로 31길 18,서울특별시 마포구 망원동 471-22,,,14126860.7073,4517682.27904,
SFT0002394,치안센터(510040),동교치안센터(서울마포),서울 마포구 양화로 178-17,서울특별시 마포구 동교동 167-20,,,14129343.221,4517099.92735,
SFT0002395,치안센터(510040),서교치안센터(서울마포),서울 마포구 잔다리로 6길 29,서울특별시 마포구 서교동 369-9,,,14128759.1722,4516389.74648,
SFT0002396,치안센터(510040),아현치안센터(서울마포),서울 마포구 환일길 3,서울특별시 마포구 아현동 710,,,14133158.2958,4517098.71971,
SFT0002397,치안센터(510040),대흥치안센터(서울마포),서울 마포구 대흥로 85,서울특별시 마포구 대흥동 298-4,,,14131061.9939,4515730.32795,
SFT0002398,치안센터(510040),노고산치안센터(서울마포),서울 마포구 신촌로18길 26,서울특별시 마포구 노고산동 57-66,,,14130306.7246,4516683.28562,
SFT0002399,치안센터(510040),도화치안센터(서울마포),서울 마포구 도화길 40,서울특별시 마포구 도화동 6-69,,,14132031.9652,4514827.88603,
SFT0003306,스마트 안심부스(510050),KT 링커스(마포구),null,서울특별시 마포구 만리재로 15,,,14132330.539,4515259.4343,
SFT0003307,스마트 안심부스(510050),KT 링커스(마포구),null,서울특별시 마포구 독막로 62,,,14128701.916,4515730.6414,
SFT0003308,스마트 안심부스(510050),KT 링커스(마포구),null,서울특별시 마포구 양화로 129,,,14128753.2061,4516737.9817,
SFT0003309,스마트 안심부스(510050),KT 링커스(마포구),null,서울특별시 마포구 양화로 133,,,14128763.0685,4516840.0288,
