SAFETY_NO,SAFETY_CODE,SAFETY_NM,SAFETY_ADDR,SAFETY_EMD,SAFETY_LONG,SAFETY_LAT,SAFETY_X,SAFETY_Y,SAFETY_GUBUN
SFT0023565,편의점(509010),GS25,서울특별시 마포구 도화4길 73,서울특별시 마포구 도화동 353,,,14132133.22,4514464.077,편의점
SFT0023570,편의점(509010),CU,서울특별시 마포구 마포대로 195,서울특별시 마포구 아현동 774,,,14132484.86,4516379.534,편의점
SFT0023586,편의점(509010),CU,서울특별시 마포구 숭문길 214,서울특별시 마포구 염리동 9-125,,,14131632.65,4516879.859,편의점
SFT0023590,편의점(509010),CU,서울특별시 마포구 매봉산로2길 1,서울특별시 마포구 상암동 2-222,,,14125840.62,4520128.488,편의점
SFT0023593,편의점(509010),세븐일레븐,서울특별시 마포구 대흥로30길 14,서울특별시 마포구 염리동 9-122,,,14131661.09,4516928.259,편의점
SFT0023734,편의점(509010),세븐일레븐,서울특별시 마포구 마포대로 109,서울특별시 마포구 공덕동 467,,,14132105.6,4515363.19,편의점
SFT0023758,편의점(509010),CU,서울특별시 마포구 백범로 178,서울특별시 마포구 공덕동 461,,,14132015.58,4515188.869,편의점
SFT0023878,편의점(509010),세븐일레븐마포연남중앙점,서울특별시 마포구 동교로 232,서울특별시 마포구 연남동 259-10,,,14129123.18,4517630.731,편의점
SFT0024059,편의점(509010),GS25,서울특별시 마포구 양화로21길 21,서울특별시 마포구 동교동 154-1,,,14129208.57,4517324.241,편의점
SFT0024063,편의점(509010),위드미이대역서희점,서울특별시 마포구 신촌로 160,서울특별시 마포구 대흥동 12-41,,,14131271.62,4516942.848,편의점
SFT0024080,편의점(509010),세븐일레븐상암DMC빌점,서울특별시 마포구 월드컵북로60길 13,서울특별시 마포구 상암동 1584,,,14124746.39,4520579.995,편의점
SFT0024214,편의점(509010),GS25,서울특별시 마포구 방울내로9안길 1,서울특별시 마포구 망원동 470-3,,,14126758.56,4517705.769,편의점
SFT0024219,편의점(509010),마포대우,서울특별시 마포구 월드컵로 204,서울특별시 마포구 성산동 591-1,,,14126678.34,4518210.976,편의점
SFT0024223,편의점(509010),CU,서울특별시 마포구 서강로3길 5,서울특별시 마포구 창전동 104-2,,,14129946.2,4515939.688,편의점
SFT0024237,편의점(509010),GS25,서울특별시 마포구 월드컵로 110,서울특별시 마포구 성산동 252-3,,,14127368.93,4517224.497,편의점
SFT0024371,편의점(509010),지에스월드컵경기장역,서울특별시 마포구 월드컵로 240,서울특별시 마포구 성산동 515,,,14126138.08,4518615.885,편의점
SFT0024441,대학교(502040),서강대학교 대학원,서울특별시 마포구 백범로 35,서울특별시 마포구 대흥동 22-60,,,14131269.73,4516366.164,대학교
