127.0.0.1 - - [29/Apr/2023:01:23:44 +0900] "GET / HTTP/1.1" 200 5406
::1 - - [29/Apr/2023:01:24:03 +0900] "GET / HTTP/1.1" 200 5406
::1 - - [29/Apr/2023:01:24:03 +0900] "GET /resources/css/index.css HTTP/1.1" 200 4772
::1 - - [29/Apr/2023:01:24:03 +0900] "GET /resources/js/ol/proj4js-2.3.14.js HTTP/1.1" 200 74192
::1 - - [29/Apr/2023:01:24:03 +0900] "GET /resources/js/ol/ol.css HTTP/1.1" 200 3729
::1 - - [29/Apr/2023:01:24:03 +0900] "GET /resources/js/bootstrap-5.2.3-dist/css/bootstrap.min.css HTTP/1.1" 200 194907
::1 - - [29/Apr/2023:01:24:03 +0900] "GET /resources/js/ol/jsts.min.js HTTP/1.1" 200 478058
::1 - - [29/Apr/2023:01:24:03 +0900] "GET /resources/js/ol/ol.js HTTP/1.1" 200 654673
::1 - - [29/Apr/2023:01:24:03 +0900] "GET /resources/js/index.js HTTP/1.1" 200 15457
::1 - - [29/Apr/2023:01:24:03 +0900] "GET /resources/js/jquery-3.6.1.min.js HTTP/1.1" 200 89666
::1 - - [29/Apr/2023:01:24:03 +0900] "GET /resources/js/bootstrap-5.2.3-dist/js/bootstrap.bundle.min.js HTTP/1.1" 200 80426
::1 - - [29/Apr/2023:01:24:03 +0900] "GET /favicon.ico HTTP/1.1" 404 721
::1 - - [29/Apr/2023:01:24:13 +0900] "GET /resources/images/safetyTotal.svg HTTP/1.1" 200 1820
::1 - - [29/Apr/2023:01:24:13 +0900] "GET /resources/images/public.svg HTTP/1.1" 200 2302
::1 - - [29/Apr/2023:01:24:13 +0900] "GET /resources/images/safe.svg HTTP/1.1" 200 3387
::1 - - [29/Apr/2023:01:24:13 +0900] "GET /resources/images/health.svg HTTP/1.1" 200 849
::1 - - [29/Apr/2023:01:24:13 +0900] "GET /resources/images/accident.svg HTTP/1.1" 200 5741
::1 - - [29/Apr/2023:01:24:13 +0900] "GET /resources/images/police.svg HTTP/1.1" 200 1234
::1 - - [29/Apr/2023:01:24:13 +0900] "GET /resources/images/edu.svg HTTP/1.1" 200 2024
::1 - - [29/Apr/2023:01:24:18 +0900] "GET /resources/images/safetyTotal2.svg HTTP/1.1" 200 1129
::1 - - [29/Apr/2023:01:24:20 +0900] "GET /resources/images/public2.svg HTTP/1.1" 200 634
::1 - - [29/Apr/2023:01:24:21 +0900] "GET /resources/images/edu2.svg HTTP/1.1" 200 1186
::1 - - [29/Apr/2023:01:24:24 +0900] "GET /safety?sort=safetyTotal HTTP/1.1" 200 429378
::1 - - [29/Apr/2023:01:24:30 +0900] "GET /resources/images/health2.svg HTTP/1.1" 200 885
::1 - - [29/Apr/2023:01:24:30 +0900] "GET /safety?sort=health HTTP/1.1" 200 377750
::1 - - [29/Apr/2023:01:24:31 +0900] "GET /resources/images/accident2.svg HTTP/1.1" 200 2289
::1 - - [29/Apr/2023:01:24:31 +0900] "GET /safety?sort=accident HTTP/1.1" 200 2577
::1 - - [29/Apr/2023:01:24:31 +0900] "GET /resources/images/safe2.svg HTTP/1.1" 200 2353
::1 - - [29/Apr/2023:01:24:31 +0900] "GET /safety?sort=safe HTTP/1.1" 200 19230
::1 - - [29/Apr/2023:01:24:32 +0900] "GET /resources/images/edu2.svg HTTP/1.1" 200 1186
::1 - - [29/Apr/2023:01:24:32 +0900] "GET /safety?sort=edu HTTP/1.1" 200 9512
::1 - - [29/Apr/2023:01:24:32 +0900] "GET /resources/images/public2.svg HTTP/1.1" 200 634
::1 - - [29/Apr/2023:01:24:32 +0900] "GET /safety?sort=public HTTP/1.1" 200 13642
::1 - - [29/Apr/2023:01:24:34 +0900] "GET /safety?sort=edu HTTP/1.1" 200 9512
::1 - - [29/Apr/2023:01:24:53 +0900] "GET / HTTP/1.1" 200 5406
::1 - - [29/Apr/2023:01:24:53 +0900] "GET /resources/js/ol/ol.css HTTP/1.1" 200 3729
::1 - - [29/Apr/2023:01:24:53 +0900] "GET /resources/js/bootstrap-5.2.3-dist/css/bootstrap.min.css HTTP/1.1" 200 194907
::1 - - [29/Apr/2023:01:24:53 +0900] "GET /resources/js/ol/proj4js-2.3.14.js HTTP/1.1" 200 74192
::1 - - [29/Apr/2023:01:24:53 +0900] "GET /resources/css/index.css HTTP/1.1" 200 4772
::1 - - [29/Apr/2023:01:24:53 +0900] "GET /resources/js/jquery-3.6.1.min.js HTTP/1.1" 200 89666
::1 - - [29/Apr/2023:01:24:53 +0900] "GET /resources/js/ol/jsts.min.js HTTP/1.1" 200 478058
::1 - - [29/Apr/2023:01:24:53 +0900] "GET /resources/js/index.js HTTP/1.1" 200 15457
::1 - - [29/Apr/2023:01:24:53 +0900] "GET /resources/js/bootstrap-5.2.3-dist/js/bootstrap.bundle.min.js HTTP/1.1" 200 80426
::1 - - [29/Apr/2023:01:24:53 +0900] "GET /resources/js/ol/ol.js HTTP/1.1" 200 654673
::1 - - [29/Apr/2023:01:24:55 +0900] "GET /resources/images/safetyTotal.svg HTTP/1.1" 200 1820
::1 - - [29/Apr/2023:01:24:55 +0900] "GET /resources/images/public.svg HTTP/1.1" 200 2302
